Audio,Audio_Haptic,Haptic,Visual_DVE,Visual_SVE,Visual_Audio_DVE,Visual_Audio_SVE,Visual_Audio_Haptic_DVE,Visual_Audio_Haptic_SVE,Visual_Haptic_SVE,Visual_Haptic_DVE,Subject,Trial
58.45692,48.50858,31.49475,76.77054,88.28529,71.52142,79.38677,75.52074,84.46925,81.63639,69.83836,Subject_10,4
47.19213,59.42343,34.96084,79.22013,88.48525,76.55391,75.27079,73.90435,85.76904,81.85303,71.40476,Subject_10,5
46.47559,58.09032,57.45709,63.08949,78.70355,73.35444,68.60523,64.90585,68.57191,85.78571,78.05366,Subject_11,1
44.55924,61.08982,53.49109,68.90518,82.48625,74.37094,72.43793,66.18896,76.28728,83.71938,79.38677,Subject_11,2
37.71038,52.14131,57.47375,73.70438,83.91935,73.30445,73.7877,71.08815,72.67122,83.05283,79.65339,Subject_11,3
41.67639,52.32461,58.29028,67.03883,81.98634,74.2043,68.93851,69.02183,81.15314,84.68588,80.91985,Subject_11,4
44.05932,54.00766,64.28928,56.84053,86.13564,76.92052,75.90401,76.27062,80.21996,86.43559,75.82069,Subject_11,5
40.75987,58.47359,54.20763,60.97317,67.52208,69.33844,56.19064,74.78754,80.10332,67.08882,71.17147,Subject_12,1
36.27729,63.93934,63.72271,59.89002,66.52225,67.15547,57.97367,72.35461,74.50425,65.52242,66.87218,Subject_12,2
37.54374,62.67289,57.29045,60.4066,61.12315,68.87186,52.70788,70.12164,74.40427,70.67155,69.57174,Subject_12,3
47.75871,68.43859,62.58957,64.63923,73.92101,63.00616,50.50825,78.1703,71.10481,79.25346,72.07132,Subject_12,4
44.55924,60.37327,56.17397,62.47292,66.53891,68.60523,62.12298,74.43759,80.93651,80.31995,67.87202,Subject_12,5
65.33911,61.15648,21.06316,73.52108,73.50442,66.43893,72.57124,75.90401,87.88535,59.94001,72.95451,Subject_13,1
58.39027,68.03866,24.97917,68.85519,78.23696,65.87235,76.87052,73.33778,87.2188,71.40476,68.1553,Subject_13,2
55.34078,70.8382,29.46176,73.68772,81.86969,70.1883,70.12164,73.45442,82.88618,73.20447,77.48708,Subject_13,3
59.97334,61.72305,36.26062,69.32178,71.42143,65.07249,82.73621,75.25413,81.70305,70.88818,66.33894,Subject_13,4
65.32245,71.4381,44.95918,74.37094,77.45376,67.1888,81.63639,76.82053,80.41993,75.45409,68.37194,Subject_13,5
62.83953,66.23896,64.65589,68.97184,74.48759,71.85469,76.9705,70.10498,66.25562,64.68922,73.38777,Subject_14,1
63.48942,69.25513,57.99033,68.3886,79.05349,66.70555,79.15347,64.77254,75.35411,71.48808,70.57157,Subject_14,2
61.20647,69.00517,49.49175,69.98833,71.2048,66.00567,72.53791,69.68839,64.6059,66.33894,71.53808,Subject_14,3
59.84003,69.72171,67.22213,66.47225,74.97084,70.70488,71.73804,68.42193,76.75388,67.6054,71.87135,Subject_14,4
58.04033,71.87135,55.6074,66.58891,71.2048,72.5879,79.73671,71.45476,73.45442,65.33911,69.03849,Subject_14,5
57.64039,58.74021,49.75837,65.17247,77.47042,58.29028,72.55457,77.52042,85.08582,80.85319,75.48742,Subject_15,1
56.44059,62.67289,52.14131,64.70588,73.67105,54.70755,70.55491,73.73771,78.88685,82.80286,74.30428,Subject_15,2
58.35694,63.05616,46.14231,62.97284,69.95501,52.02466,72.48792,76.37061,84.95251,86.25229,75.72071,Subject_15,3
67.87202,64.40593,27.64539,68.42193,77.28712,66.73888,75.18747,76.47059,84.1693,76.05399,73.67105,Subject_15,4
61.45642,61.6064,53.65772,73.95434,75.68739,73.83769,77.92035,78.95351,88.35194,85.13581,74.87086,Subject_15,5
