Audio,Audio_Haptic,Haptic,Visual_DVE,Visual_SVE,Visual_Audio_DVE,Visual_Audio_SVE,Visual_Audio_Haptic_DVE,Visual_Audio_Haptic_SVE,Visual_Haptic_SVE,Visual_Haptic_DVE,Subject,Trial
74.00433,87.60207,82.28629,87.31878,98.31695,96.18397,91.20147,94.63422,97.58373,100,98.51691,Subject_11,4
75.25413,83.4361,86.05232,86.30228,99.35011,96.31728,97.16714,96.73388,97.98367,99.15014,95.10081,Subject_11,5
80.18664,99.38344,90.6349,95.85069,98.6169,99.70005,91.73471,100,98.46692,98.68356,99.43343,Subject_12,1
74.68755,97.90035,93.45109,98.13364,100,98.30029,90.01833,98.43359,100,99.13348,97.15047,Subject_12,2
73.88769,94.45093,92.06799,91.75137,97.95034,99.73338,88.13531,99.85002,100,99.41676,99.63339,Subject_12,3
83.33611,94.51758,88.85186,93.4011,99.16681,95.26746,88.73521,99.46676,95.26746,98.93351,97.75037,Subject_12,4
72.83786,90.26829,89.21846,98.05032,100,97.4171,92.08466,96.91718,97.01717,100,98.35027,Subject_12,5
97.35044,91.11815,41.75971,100,100,98.00034,100,100,100,94.7842,98.68356,Subject_13,1
94.16764,92.31795,49.32511,96.11732,100,97.76704,97.30045,99.16681,100,100,97.70039,Subject_13,2
92.55124,97.66705,55.67405,99.2168,98.86685,96.33395,99.78337,100,97.95034,96.68388,99.85002,Subject_13,3
87.4521,90.13498,56.67389,98.36694,96.66722,96.25063,99.36678,98.93351,99.45009,97.50042,95.86736,Subject_13,4
95.30078,96.46725,64.70588,98.45026,98.40027,91.58474,100,99.75004,100,98.48359,94.75088,Subject_13,5
99.28345,95.06749,90.18497,98.43359,99.70005,97.46709,100,99.25012,96.4006,92.11798,97.967,Subject_14,1
95.01749,99.01683,85.08582,97.35044,100,96.034,99.30012,92.66789,99.26679,97.4171,100,Subject_14,2
91.56807,95.25079,81.30312,95.70071,100,97.51708,98.08366,96.55058,96.66722,89.03516,96.034,Subject_14,3
91.66805,89.08515,88.96851,90.60157,97.38377,96.6339,98.53358,96.6339,96.70055,92.58457,96.36727,Subject_14,4
85.53574,97.33378,80.86986,93.56774,95.2008,97.03383,99.13348,92.16797,95.93401,94.86752,94.38427,Subject_14,5
97.3671,96.33395,78.55357,98.55024,100,94.35094,99.35011,100,100,100,99.36678,Subject_15,1
97.91702,94.31761,85.85236,99.20013,100,95.66739,99.50008,100,100,100,98.46692,Subject_15,2
92.96784,96.60056,71.10481,96.33395,99.45009,91.11815,99.56674,99.61673,100,100,98.63356,Subject_15,3
95.4341,89.45176,38.11031,93.03449,99.38344,92.9845,98.8002,99.10015,100,99.65005,97.85036,Subject_15,4
93.31778,89.33511,86.56891,95.88402,97.98367,96.75054,97.7837,99.56674,100,100,98.43359,Subject_15,5
